杭州萧山利奥快捷酒店 ,0571-83882566,0571-83882577
杭州萧山品客商务酒店 ,0571-83872366,0571-82286999
杭州萧山商业城休闲山庄 ,0571-83888777,0571-83888777
杭州萧山天汇商务酒店 ,0571-22897866,0571-22897888
杭州萧山湘湖鑫鑫九龙度假山庄 ,0571-83731368,0571-82683888
杭州鲜屋城市酒店（教工路店） ,0571-28179555,0571-28179555
杭州鲜屋城市酒店（西湖店） ,0571-58104001,0571-58104000
杭州兴旺假日酒店 ,0571-87048811,0571-28039999
杭州鲜屋商旅酒店（沈半路店） ,0571-88029916,0571-88803288
杭州新宇酒店（华家池店） ,0571-88990577,0571-88990588、86537500
杭州喜悦快捷酒店 ,0571-87084758,0571-87032869
杭州雨岸之星假日酒店 ,0571-89987193,0571-89987190、89987191
杭州耀鼎公寓酒店 ,0571-87969209,0571-87969209
杭州余杭釜托寺菩提竹苑 ,0571-88567034,0571-88567034
杭州涌金饭店（浙江省军区第二招待所） ,0571-87065665,0571-87067608
杭州缘来商务酒店 ,0571-56377555,0571-56255999
杭州永楠大酒店 ,0571-89278927,0571-89278666
杭州雅朋旅店 ,0571-88908186,0571-88908181
杭州映日国际酒店 ,0571-85835758,0571-87663999
杭州元宿印象酒店 ,0571-88996656,0571-88996060
杭州榆园背包客青年旅舍 ,0571-86576919,0571-87153077
杭州雅逸假日酒店 ,0571-87984666,0571-87963555
杭州榆园星光客青年旅舍 ,0571-86576919,0571-87153077
杭州圆正·芳草苑宾馆 ,0571-88218118,0571-88218188
杭州游子酒店式公寓（东方金座店） ,0571-87968137,0571-86464996
杭州游子酒店式公寓（钛合国际店） ,0571-88271485,0571-88271485
杭州圆正·西溪宾馆 ,0571-81953655,0571-81953588
杭州中北大酒店 ,0571-85054150,0571-85060988
杭州泽和酒店 ,0571-28903866,0571-28903888
杭州紫金港·西港酒店 ,0571-28186868,0571-28182222
杭州中清商务酒店 ,0571-28295777,0571-28295777
杭州中商宾馆 ,0571-88175008,0571-88176008
杭州浙天速8酒店 ,0571-28021155,0571-28991777
杭州最忆城市酒店 ,0571-87928001,0571-87928000
金狮一百连锁宾馆（杭州石桥路店） ,0571-88127066,0571-88127077
卡莱花园连锁酒店（杭州沈半路店） ,0571-88132188,0571-88132088、88131288
卡莱花园连锁酒店（杭州绍兴路店） ,0571-88285856,0571-88285850
卡莱花园连锁酒店（杭州信义坊店） ,0571-88372345,0571-88372333
里约酒店（杭州西湖店） ,0571-28031808,0571-28981999
莫泰168（杭州东新路店） ,0571-88888805,0571-88168168
莫泰168（杭州教工店） ,0571-88111011,0571-88111000
莫泰168（杭州天城路店） ,0571-88999111,0571-88999000
莫泰168（杭州萧山市心中路店） ,0571-22676168,0571-22889888
莫泰268（杭州武林广场店） ,0571-56188977,0571-56188999
莫泰268（杭州西湖大道南宋御街店） ,0571-87806672,0571-87767666
南苑e家商务旅店（杭州滨江店） ,0571-57575151,0571-57576555
南苑E家商务旅店（杭州凤起店） ,0571-87210818,0571-87222588
南苑e家商务旅店（杭州莫干山路店） ,0571-28038352,0571-28939999
南苑E家商务旅店（杭州文一路店） ,0571-88867788,0571-88863888
如家快捷酒店（杭州滨江滨文路店） ,0571-86617600,0571-86617566
如家快捷酒店（杭州凤起路店） ,0571-87702953,0571-87700633
